"flag","gender","education","house_val","age","online","customer_psy","marriage","child","occupation","mortgage","house_owner","region","fam_income"
"N","U","4. Grad",164219,"1_Unk","Y","D","","N","Others","1Low","Owner","West","F"
"N","M","2. Some College",341711,"4_<=45","Y","C","Married","Y","Sales/Service","2Med","Owner","West","F"
"N","M","3. Bach",1572641,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Northeast","F"
"N","M","3. Bach",129710,"2_<=25","N","G","","Y","Blue Collar","2Med","Owner","West","C"
"Y","M","4. Grad",1068723,"1_Unk","Y","B","","N","Sales/Service","3High","Owner","South","J"
"N","M","4. Grad",636560,"5_<=55","Y","B","Married","U","Professional","1Low","","Northeast","J"
"N","F","1. HS",0,"5_<=55","Y","G","","Y","Sales/Service","1Low","Renter","Northeast","D"
"N","F","2. Some College",335118,"4_<=45","Y","E","Married","U","Professional","1Low","Renter","Northeast","D"
"N","F","3. Bach",0,"4_<=45","Y","G","","Y","Sales/Service","1Low","Renter","West","D"
"Y","F","4. Grad",0,"4_<=45","Y","I","Married","Y","Sales/Service","1Low","Owner","Midwest","E"
"N","F","2. Some College",0,"1_Unk","Y","C","","Y","Professional","1Low","Owner","Northeast","E"
"Y","M","2. Some College",0,"4_<=45","Y","E","Married","Y","Professional","1Low","Renter","South","E"
"Y","M","",942250,"1_Unk","N","B","","Y","Others","1Low","Owner","Rest","G"
"N","F","1. HS",819407,"6_<=65","Y","E","Married","Y","Professional","1Low","Owner","Northeast","F"
"N","M","3. Bach",0,"3_<=35","Y","G","Single","N","Professional","1Low","","West","D"
"N","M","2. Some College",379745,"5_<=55","Y","I","Married","U","Blue Collar","1Low","Owner","Northeast","C"
"Y","M","1. HS",241031,"4_<=45","Y","C","Married","Y","Blue Collar","1Low","Owner","Midwest","F"
"N","M","3. Bach",353552,"7_>65","Y","B","Married","N","Professional","1Low","Owner","South","D"
"Y","M","4. Grad",970808,"3_<=35","Y","C","Married","Y","Professional","1Low","Owner","South","F"
"Y","M","4. Grad",146626,"4_<=45","Y","I","Married","N","Sales/Service","1Low","","South","D"
"Y","F","2. Some College",0,"4_<=45","Y","J","Married","Y","Professional","1Low","Owner","South","E"
"Y","M","0. <HS",74774,"3_<=35","N","F","Single","U","Professional","1Low","Owner","Midwest","G"
"N","F","1. HS",441493,"7_>65","Y","D","Married","N","Retired","1Low","Owner","Northeast","G"
"N","M","1. HS",283291,"4_<=45","Y","B","","N","Professional","1Low","Owner","Northeast","E"
"Y","M","2. Some College",365782,"6_<=65","N","C","Married","U","Blue Collar","1Low","","West","F"
"N","F","1. HS",275584,"5_<=55","Y","B","","Y","Professional","1Low","Owner","South","H"
"N","F","1. HS",1557893,"7_>65","Y","B","","N","Retired","3High","Owner","West","H"
"N","F","2. Some College",1110000,"4_<=45","Y","E","Married","Y","Sales/Service","1Low","Owner","South","C"
"N","F","2. Some College",289752,"1_Unk","Y","A","Single","N","Professional","1Low","Renter","West","E"
"Y","F","1. HS",0,"5_<=55","Y","G","Single","Y","Professional","1Low","Renter","West","D"
"N","F","2. Some College",295281,"4_<=45","N","D","","N","Professional","1Low","Owner","Midwest","G"
"Y","M","2. Some College",411409,"3_<=35","Y","C","Married","Y","Blue Collar","1Low","Owner","West","F"
"Y","F","2. Some College",321550,"1_Unk","N","B","Married","N","Sales/Service","1Low","Owner","South","F"
"Y","F","2. Some College",99900,"7_>65","Y","D","Married","N","Retired","1Low","Owner","Midwest","C"
"N","F","3. Bach",77618,"5_<=55","Y","F","","U","Professional","1Low","Renter","Northeast","D"
"N","M","0. <HS",0,"1_Unk","N","G","","Y","Blue Collar","1Low","Renter","South","A"
"Y","M","2. Some College",950698,"5_<=55","N","C","Married","Y","Professional","1Low","Owner","West","L"
"Y","F","3. Bach",134310,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Midwest","G"
"Y","M","",12949,"1_Unk","N","D","","N","Others","1Low","Owner","South","D"
"N","M","1. HS",368692,"5_<=55","Y","E","Married","Y","Others","1Low","Owner","West","E"
"N","F","2. Some College",102176,"6_<=65","N","I","","N","Professional","1Low","Owner","West","C"
"Y","F","3. Bach",201105,"5_<=55","Y","B","","N","Professional","2Med","Owner","Midwest","D"
"Y","M","3. Bach",1383885,"2_<=25","Y","C","","Y","Professional","1Low","Owner","Northeast","L"
"Y","M","3. Bach",0,"4_<=45","Y","A","Married","Y","Professional","1Low","Renter","West","F"
"Y","M","2. Some College",618856,"6_<=65","Y","B","Married","N","Professional","3High","Owner","South","H"
"Y","F","2. Some College",396106,"6_<=65","Y","B","Married","U","Sales/Service","2Med","Owner","Northeast","I"
"N","M","0. <HS",0,"3_<=35","Y","F","Married","Y","Sales/Service","1Low","Renter","Midwest","F"
"Y","M","2. Some College",344309,"4_<=45","Y","A","Single","U","Sales/Service","2Med","Owner","Midwest","F"
"Y","F","0. <HS",0,"5_<=55","N","G","","Y","Sales/Service","1Low","Renter","South","C"
"N","M","1. HS",9047,"6_<=65","Y","J","Married","N","Others","1Low","Owner","Midwest","D"
"Y","U","2. Some College",0,"4_<=45","Y","C","Married","U","Sales/Service","1Low","Owner","West","L"
"N","F","2. Some College",64484,"7_>65","N","D","","N","Retired","1Low","Owner","South","D"
"N","M","1. HS",258657,"5_<=55","Y","E","Married","U","Sales/Service","3High","Owner","West","H"
"N","M","1. HS",268249,"5_<=55","Y","E","Single","U","Professional","2Med","Owner","South","E"
"Y","M","4. Grad",4628728,"6_<=65","N","B","Married","N","Professional","3High","Owner","South","K"
"Y","M","4. Grad",953532,"6_<=65","Y","B","","N","Professional","2Med","Owner","South","A"
"N","F","1. HS",0,"7_>65","N","D","Married","N","Retired","1Low","Renter","Northeast","D"
"N","M","3. Bach",235222,"1_Unk","N","E","","U","Sales/Service","1Low","Owner","West","F"
"Y","M","2. Some College",303074,"6_<=65","Y","I","Single","N","Blue Collar","1Low","Owner","West","E"
"N","F","2. Some College",602667,"2_<=25","N","E","","Y","Blue Collar","1Low","Renter","South","C"
"Y","M","3. Bach",219395,"6_<=65","Y","E","Married","N","Retired","1Low","Owner","South","E"
"N","F","3. Bach",594486,"7_>65","Y","B","","N","Retired","3High","Owner","West","E"
"N","F","2. Some College",59514,"1_Unk","Y","J","","N","Sales/Service","1Low","Owner","South","D"
"N","M","1. HS",1165253,"6_<=65","N","B","Married","N","Sales/Service","3High","Owner","West","F"
"Y","F","3. Bach",638631,"3_<=35","Y","B","","Y","Professional","2Med","Owner","Midwest","K"
"N","M","0. <HS",431640,"7_>65","Y","F","Married","Y","Retired","1Low","Owner","Northeast","E"
"Y","M","4. Grad",227657,"3_<=35","Y","A","Single","N","Professional","1Low","Renter","Midwest","E"
"N","M","2. Some College",0,"3_<=35","Y","E","Married","U","Sales/Service","1Low","Renter","Midwest","D"
"Y","M","4. Grad",227613,"4_<=45","N","C","Married","Y","Others","1Low","Owner","South","D"
"Y","M","1. HS",43360,"4_<=45","Y","E","Married","Y","Blue Collar","1Low","Owner","South","F"
"N","M","3. Bach",0,"4_<=45","N","G","","N","Professional","1Low","Renter","Midwest","D"
"N","M","0. <HS",197769,"7_>65","Y","B","Married","N","Retired","1Low","Owner","South","E"
"N","M","4. Grad",10172,"2_<=25","N","J","Single","N","Blue Collar","1Low","","South","B"
"Y","M","4. Grad",473174,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","Northeast","L"
"Y","M","2. Some College",225630,"1_Unk","Y","F","Married","U","Sales/Service","2Med","Owner","Midwest","D"
"N","F","1. HS",0,"7_>65","Y","D","Married","N","Retired","1Low","Owner","Midwest","D"
"Y","F","2. Some College",289095,"7_>65","Y","C","","Y","Professional","1Low","Owner","Midwest","G"
"Y","U","0. <HS",0,"4_<=45","Y","H","Single","N","Blue Collar","1Low","Renter","West","F"
"N","F","0. <HS",0,"7_>65","N","D","","N","Retired","1Low","Owner","South","B"
"N","F","2. Some College",255223,"2_<=25","Y","E","","N","Professional","1Low","Owner","Northeast","K"
"Y","M","2. Some College",169830,"4_<=45","Y","C","Married","Y","Others","1Low","Owner","Midwest","H"
"N","M","0. <HS",27573,"1_Unk","N","G","Married","Y","Sales/Service","1Low","Renter","West","A"
"Y","M","2. Some College",151924,"5_<=55","Y","F","","Y","Professional","1Low","Owner","South","D"
"N","F","1. HS",182040,"3_<=35","Y","F","","Y","Professional","1Low","Owner","Northeast","E"
"N","F","2. Some College",395234,"2_<=25","N","E","Single","Y","Sales/Service","1Low","Renter","Northeast","D"
"N","F","1. HS",0,"1_Unk","Y","D","","N","Others","1Low","Owner","West","F"
"N","U","2. Some College",388416,"1_Unk","N","D","","N","Sales/Service","3High","Owner","South","E"
"N","M","1. HS",0,"5_<=55","N","J","Single","U","Blue Collar","1Low","Owner","South","E"
"N","M","1. HS",486794,"7_>65","Y","D","Married","N","Retired","1Low","Owner","Northeast","C"
"Y","F","3. Bach",1422722,"5_<=55","Y","B","Married","N","Professional","3High","Owner","West","J"
"N","F","1. HS",0,"2_<=25","Y","I","","N","Blue Collar","1Low","Owner","Midwest","D"
"N","F","1. HS",149602,"1_Unk","Y","J","","Y","Others","1Low","Owner","South","E"
"N","M","1. HS",101486,"6_<=65","N","J","Married","N","Professional","1Low","Owner","South","E"
"N","M","0. <HS",86927,"7_>65","N","D","Married","U","Retired","1Low","Owner","South","A"
"N","F","2. Some College",181844,"1_Unk","N","J","Married","Y","Sales/Service","1Low","","West","C"
"Y","F","3. Bach",1395200,"3_<=35","Y","B","","N","Professional","3High","Owner","Midwest","D"
"N","F","1. HS",120924,"6_<=65","Y","F","Married","Y","Retired","1Low","Owner","Northeast","E"
"Y","F","4. Grad",570715,"6_<=65","Y","B","Married","N","Professional","3High","Owner","South","G"
"Y","M","1. HS",0,"4_<=45","N","E","Married","Y","Blue Collar","1Low","Renter","West","D"
"Y","F","2. Some College",1227612,"5_<=55","Y","C","","Y","Sales/Service","1Low","","West","J"
"N","M","3. Bach",96124,"5_<=55","Y","I","Married","U","Blue Collar","1Low","Owner","South","E"
"Y","F","1. HS",0,"6_<=65","Y","B","Married","N","Blue Collar","1Low","Owner","Midwest","D"
"Y","M","4. Grad",270254,"6_<=65","Y","B","Married","N","Sales/Service","1Low","","Midwest","E"
"N","M","2. Some College",715258,"7_>65","Y","B","","Y","Retired","1Low","Renter","South","G"
"N","F","1. HS",350544,"4_<=45","Y","E","","N","Others","2Med","Owner","Midwest","E"
"Y","F","1. HS",294627,"3_<=35","N","J","Married","Y","Professional","1Low","Owner","West","D"
"Y","F","4. Grad",350879,"3_<=35","N","C","Married","Y","Professional","1Low","Owner","Northeast","E"
"Y","F","3. Bach",428370,"4_<=45","Y","C","Married","Y","Professional","1Low","Owner","South","F"
"N","M","2. Some College",0,"2_<=25","Y","B","","N","Professional","1Low","Owner","Northeast","L"
"N","M","1. HS",210560,"7_>65","N","D","","Y","Retired","1Low","Owner","Midwest","D"
"N","M","0. <HS",105730,"7_>65","Y","F","Married","U","Retired","1Low","Owner","South","D"
"N","M","4. Grad",0,"5_<=55","Y","E","Married","N","Professional","1Low","Owner","Midwest","E"
"N","F","3. Bach",204048,"4_<=45","Y","E","Married","Y","Professional","2Med","Owner","Midwest","E"
"N","M","2. Some College",0,"3_<=35","Y","J","","Y","Blue Collar","1Low","Owner","Midwest","E"
"Y","F","0. <HS",304437,"1_Unk","Y","C","Married","U","Professional","2Med","Owner","West","B"
"N","F","2. Some College",0,"7_>65","Y","U","","0","Professional","1Low","","South","U"
"Y","F","4. Grad",0,"5_<=55","Y","F","Single","N","Professional","1Low","Renter","Northeast","D"
"N","M","0. <HS",0,"4_<=45","N","G","Single","Y","Blue Collar","1Low","Renter","West","E"
"Y","F","3. Bach",204981,"4_<=45","N","C","Married","Y","Professional","2Med","Owner","South","F"
"Y","M","1. HS",1012392,"5_<=55","Y","B","Married","Y","Others","3High","Owner","West","J"
"Y","M","4. Grad",0,"5_<=55","N","G","Married","Y","Professional","1Low","Renter","Northeast","A"
"Y","M","1. HS",283160,"1_Unk","N","C","","Y","Blue Collar","1Low","","West","E"
"Y","M","",864643,"1_Unk","Y","C","","Y","Others","3High","Owner","Northeast","G"
"N","F","1. HS",210370,"7_>65","N","B","","N","Retired","1Low","Owner","South","H"
"Y","M","1. HS",457800,"1_Unk","N","B","","U","Sales/Service","3High","Owner","South","L"
"N","F","2. Some College",211024,"2_<=25","Y","F","","N","Professional","1Low","Owner","Northeast","F"
"N","M","2. Some College",262384,"4_<=45","N","C","Married","Y","Blue Collar","1Low","Owner","South","F"
"Y","M","1. HS",426190,"5_<=55","Y","E","Married","N","Professional","2Med","Owner","Northeast","G"
"N","M","2. Some College",0,"2_<=25","Y","G","Married","N","Blue Collar","1Low","Renter","South","E"
"Y","M","3. Bach",0,"1_Unk","Y","A","","N","Sales/Service","1Low","","Northeast","E"
"N","F","1. HS",0,"7_>65","N","I","","N","Retired","1Low","Owner","West","E"
"Y","M","3. Bach",0,"4_<=45","Y","E","","Y","Blue Collar","1Low","Renter","West","E"
"N","F","1. HS",104858,"5_<=55","N","F","Married","Y","Sales/Service","1Low","Owner","Northeast","D"
"Y","M","0. <HS",0,"1_Unk","Y","G","Single","N","Blue Collar","1Low","","South","A"
"Y","F","3. Bach",0,"5_<=55","Y","G","Single","N","Sales/Service","1Low","Renter","Midwest","E"
"N","F","2. Some College",242950,"1_Unk","Y","E","Married","U","Professional","1Low","Owner","Midwest","G"
"Y","M","2. Some College",0,"5_<=55","Y","I","","N","Professional","1Low","","West","D"
"N","M","3. Bach",0,"7_>65","Y","H","Married","N","Professional","1Low","","Northeast","F"
"Y","F","4. Grad",787666,"5_<=55","N","B","Married","Y","Sales/Service","1Low","Owner","Midwest","D"
"Y","M","2. Some College",279748,"4_<=45","N","C","Married","Y","Blue Collar","1Low","Owner","South","G"
"Y","M","2. Some College",214152,"6_<=65","Y","F","Married","U","Others","1Low","Owner","South","F"
"Y","M","3. Bach",2435496,"4_<=45","Y","C","Married","Y","Professional","1Low","Owner","Northeast","K"
"N","M","3. Bach",134342,"4_<=45","N","F","Single","U","Professional","1Low","","Midwest","E"
"Y","M","2. Some College",256716,"5_<=55","Y","E","Married","Y","Blue Collar","1Low","Owner","South","F"
"Y","M","3. Bach",534100,"4_<=45","Y","E","Married","Y","Professional","3High","Owner","Northeast","H"
"N","F","3. Bach",314574,"7_>65","Y","D","","N","Retired","1Low","Owner","Northeast","G"
"Y","F","1. HS",0,"5_<=55","N","F","Married","Y","Sales/Service","1Low","Renter","Rest","I"
"N","F","1. HS",213422,"4_<=45","Y","E","Married","Y","Sales/Service","1Low","","West","E"
"N","F","2. Some College",242939,"2_<=25","Y","F","Single","N","Professional","1Low","Owner","South","F"
"Y","M","3. Bach",289769,"4_<=45","Y","C","Married","Y","Sales/Service","2Med","Owner","West","G"
"N","F","2. Some College",0,"2_<=25","Y","G","Married","Y","Sales/Service","1Low","Renter","Northeast","B"
"Y","F","3. Bach",456165,"6_<=65","Y","I","Single","N","Professional","2Med","Owner","West","I"
"Y","M","4. Grad",313026,"5_<=55","Y","C","Married","Y","Professional","2Med","Owner","South","G"
"Y","M","2. Some College",283400,"3_<=35","Y","C","Married","Y","Professional","3High","Owner","Northeast","F"
"N","M","4. Grad",641813,"4_<=45","N","C","Married","Y","Professional","1Low","Owner","South","I"
"N","M","4. Grad",0,"7_>65","Y","F","Married","Y","Professional","1Low","Owner","Northeast","D"
"Y","F","2. Some College",290032,"7_>65","Y","I","Married","N","Retired","1Low","Owner","Northeast","F"
"Y","M","2. Some College",145217,"5_<=55","Y","F","Married","U","Professional","1Low","Renter","Midwest","H"
"N","F","1. HS",89990,"7_>65","N","F","","N","Retired","1Low","Owner","Midwest","C"
"Y","M","3. Bach",247953,"7_>65","Y","D","Married","N","Retired","1Low","Owner","West","A"
"Y","F","3. Bach",330400,"3_<=35","N","C","Married","Y","Sales/Service","1Low","Owner","South","F"
"Y","M","3. Bach",855868,"5_<=55","Y","B","Married","Y","Professional","1Low","","West","E"
"Y","F","3. Bach",831234,"1_Unk","Y","B","","N","Professional","3High","Owner","West","L"
"Y","M","4. Grad",338227,"5_<=55","N","I","Married","U","Professional","1Low","Owner","Northeast","D"
"Y","F","1. HS",98579,"5_<=55","N","F","Married","U","Professional","1Low","Owner","Midwest","H"
"Y","M","3. Bach",156737,"3_<=35","N","C","Single","Y","Sales/Service","1Low","Owner","South","F"
"Y","F","1. HS",61149,"7_>65","N","F","","U","Retired","1Low","","South","E"
"N","M","2. Some College",288456,"3_<=35","Y","F","Married","Y","Sales/Service","1Low","Renter","South","E"
"N","M","1. HS",0,"2_<=25","N","H","","N","Sales/Service","1Low","Renter","South","A"
"N","F","2. Some College",755370,"5_<=55","Y","B","Married","Y","Professional","2Med","Owner","West","H"
"N","F","3. Bach",0,"3_<=35","N","G","Single","Y","Professional","1Low","","South","B"
"Y","F","1. HS",314635,"5_<=55","Y","E","","N","Sales/Service","1Low","Owner","South","D"
"Y","M","1. HS",138909,"3_<=35","Y","C","Married","Y","Professional","1Low","Owner","South","E"
"Y","M","1. HS",328972,"7_>65","Y","D","Married","N","Sales/Service","1Low","Owner","Midwest","B"
"Y","M","3. Bach",352070,"1_Unk","Y","F","Married","U","Others","3High","Owner","Northeast","D"
"Y","M","2. Some College",286288,"1_Unk","Y","C","","Y","Sales/Service","2Med","Owner","South","H"
"N","F","3. Bach",129710,"6_<=65","Y","E","","U","Sales/Service","1Low","Owner","Midwest","D"
"N","M","3. Bach",0,"1_Unk","N","H","","Y","Blue Collar","1Low","","South","A"
"Y","F","1. HS",104398,"5_<=55","Y","G","Married","Y","Sales/Service","1Low","Owner","Midwest","E"
"Y","M","3. Bach",905604,"7_>65","Y","C","Married","N","Retired","1Low","Renter","West","F"
"Y","M","2. Some College",179828,"5_<=55","N","E","Married","N","Sales/Service","1Low","Owner","Midwest","E"
"N","F","4. Grad",818917,"4_<=45","N","B","","N","Professional","3High","Owner","Midwest","B"
"N","F","3. Bach",287465,"6_<=65","Y","E","","Y","Sales/Service","1Low","","South","E"
"N","F","3. Bach",340276,"1_Unk","N","B","","Y","Sales/Service","1Low","Renter","West","F"
"N","M","2. Some College",206119,"5_<=55","Y","D","Married","U","Blue Collar","1Low","Owner","Midwest","F"
"N","M","1. HS",0,"5_<=55","N","F","","Y","Blue Collar","1Low","Owner","Midwest","C"
"N","U","1. HS",415835,"1_Unk","Y","A","Married","Y","Professional","1Low","Renter","Northeast","F"
"N","M","1. HS",218000,"1_Unk","N","B","Married","U","Professional","1Low","Owner","South","F"
"Y","M","4. Grad",565579,"5_<=55","N","C","Married","U","Others","3High","Owner","West","F"
"Y","M","3. Bach",894456,"6_<=65","Y","C","Single","Y","Sales/Service","1Low","Renter","West","G"
"N","F","2. Some College",82316,"3_<=35","N","E","Single","Y","Sales/Service","1Low","Renter","Northeast","C"
"N","F","1. HS",63270,"5_<=55","Y","I","","N","Professional","1Low","Owner","South","D"
"Y","M","1. HS",0,"1_Unk","Y","G","Single","U","Professional","1Low","","Northeast","I"
"Y","M","2. Some College",299270,"3_<=35","Y","C","Married","Y","Sales/Service","1Low","Renter","South","G"
"Y","M","4. Grad",0,"7_>65","Y","D","","N","Retired","1Low","Owner","Northeast","E"
"N","M","2. Some College",0,"3_<=35","N","G","","N","Blue Collar","1Low","Renter","Midwest","E"
"N","M","3. Bach",0,"3_<=35","N","E","Single","Y","Blue Collar","1Low","Renter","Midwest","D"
"N","M","3. Bach",292043,"3_<=35","Y","B","","Y","Professional","1Low","Owner","Midwest","G"
"Y","M","1. HS",314574,"7_>65","Y","D","Married","N","Retired","1Low","Owner","South","D"
"Y","F","3. Bach",836684,"5_<=55","Y","B","Married","Y","Sales/Service","1Low","Owner","South","E"
"Y","F","2. Some College",200124,"5_<=55","Y","E","Married","Y","Sales/Service","1Low","Owner","West","F"
"N","M","3. Bach",335480,"4_<=45","Y","C","","Y","Others","3High","Owner","West","G"
"N","M","1. HS",0,"6_<=65","N","H","Married","Y","Sales/Service","1Low","Renter","Midwest","C"
"N","F","0. <HS",742126,"1_Unk","N","G","Married","Y","Blue Collar","1Low","Renter","West","C"
"Y","M","2. Some College",206053,"6_<=65","N","B","Married","N","Professional","3High","Owner","West","E"
"Y","F","2. Some College",354257,"1_Unk","Y","A","Single","U","Sales/Service","1Low","Renter","West","I"
"Y","M","0. <HS",110068,"1_Unk","Y","F","Single","Y","Blue Collar","1Low","","South","E"
"Y","M","0. <HS",0,"1_Unk","N","A","Single","Y","Blue Collar","1Low","Renter","Northeast","A"
"N","M","1. HS",200102,"1_Unk","Y","D","","N","Sales/Service","1Low","Owner","South","E"
"Y","F","2. Some College",755370,"5_<=55","Y","E","Married","N","Sales/Service","1Low","Renter","Northeast","F"
"Y","M","4. Grad",367003,"1_Unk","Y","B","Married","U","Professional","3High","Owner","Midwest","J"
"N","M","2. Some College",68964,"2_<=25","Y","J","Married","Y","Blue Collar","1Low","Owner","Midwest","B"
"N","F","1. HS",0,"5_<=55","Y","J","","Y","Sales/Service","1Low","Owner","Northeast","F"
"Y","M","2. Some College",69147,"7_>65","Y","D","Married","N","Retired","1Low","Owner","South","E"
"Y","M","3. Bach",185409,"4_<=45","Y","F","","Y","Blue Collar","2Med","Owner","South","E"
"N","M","1. HS",0,"5_<=55","Y","G","Single","U","Professional","1Low","Renter","South","G"
"Y","M","3. Bach",193649,"6_<=65","Y","B","Married","Y","Others","1Low","Owner","South","G"
"Y","F","2. Some College",348364,"2_<=25","Y","B","","Y","Professional","2Med","Owner","Midwest","H"
"Y","F","1. HS",166770,"7_>65","Y","D","Married","N","Retired","1Low","Owner","Midwest","F"
"Y","M","4. Grad",732654,"5_<=55","N","B","","U","Professional","1Low","Renter","South","K"
"N","F","3. Bach",0,"7_>65","N","U","","0","Professional","1Low","","West","U"
"Y","M","1. HS",144141,"4_<=45","N","E","Single","Y","Blue Collar","1Low","Renter","South","E"
"N","F","3. Bach",676475,"7_>65","Y","B","Married","N","Professional","1Low","Owner","South","K"
"N","M","2. Some College",202631,"2_<=25","Y","B","","Y","Sales/Service","1Low","Owner","Midwest","F"
"Y","M","2. Some College",931950,"4_<=45","Y","C","","Y","Professional","3High","Owner","South","L"
"Y","M","2. Some College",1144227,"6_<=65","Y","B","Married","N","Professional","3High","Owner","West","K"
"N","F","2. Some College",369411,"6_<=65","Y","E","Married","Y","Sales/Service","1Low","Owner","South","G"
"N","F","1. HS",31435,"5_<=55","N","I","Married","N","Professional","1Low","Owner","Midwest","D"
"Y","M","3. Bach",0,"3_<=35","Y","G","Married","N","Blue Collar","1Low","","South","E"
"N","F","1. HS",226011,"7_>65","Y","H","Married","N","Professional","1Low","Owner","West","F"
"N","M","2. Some College",153741,"6_<=65","N","J","Married","N","Farm","1Low","Owner","South","F"
"N","F","1. HS",97010,"7_>65","Y","I","Married","N","Retired","1Low","Owner","West","D"
"Y","M","3. Bach",484047,"5_<=55","Y","C","Married","Y","Sales/Service","1Low","Owner","South","K"
"N","M","4. Grad",166500,"5_<=55","Y","E","Married","Y","Professional","1Low","Owner","Midwest","G"
"Y","M","2. Some College",526140,"5_<=55","Y","C","Married","Y","Professional","2Med","Owner","Northeast","J"
"Y","M","4. Grad",187318,"3_<=35","Y","E","","N","Professional","2Med","Owner","South","F"
"Y","M","3. Bach",431557,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","West","K"
"N","M","0. <HS",0,"1_Unk","N","G","","Y","Others","1Low","Renter","South","F"
"N","M","2. Some College",0,"1_Unk","N","G","Single","U","Sales/Service","1Low","Renter","South","A"
"Y","F","2. Some College",312655,"5_<=55","Y","B","Married","U","Sales/Service","1Low","Owner","Northeast","H"
"N","F","3. Bach",331130,"3_<=35","Y","B","Married","U","Professional","2Med","Owner","South","G"
"Y","M","2. Some College",258571,"2_<=25","N","F","","U","Blue Collar","1Low","Renter","Northeast","C"
"N","F","2. Some College",123985,"5_<=55","N","C","Married","Y","Sales/Service","1Low","Owner","South","E"
"N","F","0. <HS",68931,"3_<=35","N","G","Married","U","Blue Collar","1Low","Owner","South","C"
"Y","M","1. HS",482652,"6_<=65","Y","C","","Y","Sales/Service","1Low","Owner","Northeast","J"
"N","M","3. Bach",206661,"1_Unk","Y","B","","N","Sales/Service","1Low","Owner","South","I"
"N","M","4. Grad",250950,"7_>65","Y","D","","N","Professional","1Low","","West","D"
"Y","M","2. Some College",117378,"5_<=55","Y","J","Married","N","Professional","1Low","Owner","Midwest","E"
"N","F","2. Some College",124859,"5_<=55","Y","I","Married","N","Professional","1Low","Owner","Midwest","F"
"N","M","3. Bach",965876,"1_Unk","N","A","Single","N","Professional","1Low","Renter","Rest","D"
"N","M","0. <HS",93240,"6_<=65","N","B","","N","Blue Collar","1Low","Owner","Midwest","E"
"N","F","2. Some College",112488,"1_Unk","N","F","Single","N","Sales/Service","1Low","","South","E"
"N","U","2. Some College",0,"1_Unk","Y","H","","U","Others","1Low","Renter","South","C"
"Y","M","4. Grad",158730,"7_>65","Y","D","Married","N","Professional","1Low","Owner","Midwest","E"
"Y","M","2. Some College",0,"4_<=45","N","G","Single","Y","Professional","1Low","Renter","Midwest","C"
"N","M","1. HS",106908,"4_<=45","Y","J","Single","Y","Sales/Service","1Low","Renter","South","C"
"N","M","1. HS",127486,"7_>65","Y","D","Married","N","Retired","1Low","Owner","Northeast","E"
"Y","U","2. Some College",87287,"1_Unk","N","F","","N","Sales/Service","1Low","Owner","South","C"
"Y","M","3. Bach",571596,"5_<=55","Y","C","Married","N","Professional","1Low","Owner","West","J"
"N","M","1. HS",765180,"7_>65","Y","D","Married","N","Retired","2Med","Owner","Rest","I"
"Y","F","3. Bach",454530,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Midwest","J"
"N","M","3. Bach",259572,"6_<=65","Y","I","Single","N","Professional","2Med","Owner","West","G"
"Y","M","1. HS",2056448,"6_<=65","Y","B","Married","Y","Sales/Service","1Low","Owner","Northeast","I"
"N","F","1. HS",169331,"6_<=65","Y","I","Single","N","Professional","1Low","Owner","Midwest","E"
"N","M","0. <HS",50358,"4_<=45","N","G","Married","Y","Blue Collar","1Low","","South","A"
"Y","M","2. Some College",488838,"7_>65","Y","B","","U","Professional","3High","Owner","South","F"
"Y","F","2. Some College",87690,"5_<=55","Y","I","Single","Y","Sales/Service","1Low","Owner","South","E"
"Y","M","2. Some College",0,"1_Unk","N","I","","U","Sales/Service","1Low","Renter","South","A"
"N","M","1. HS",145254,"1_Unk","Y","F","Married","Y","Sales/Service","2Med","Owner","South","E"
"N","M","0. <HS",122832,"6_<=65","N","B","Single","N","Others","1Low","Owner","South","I"
"N","F","3. Bach",75480,"4_<=45","Y","F","","Y","Professional","1Low","Owner","South","F"
"Y","F","3. Bach",696217,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","West","I"
"Y","M","3. Bach",1225868,"5_<=55","Y","B","Married","N","Professional","3High","Owner","West","J"
"N","F","2. Some College",0,"3_<=35","Y","E","Married","Y","Sales/Service","1Low","Renter","Midwest","B"
"Y","F","3. Bach",497367,"5_<=55","Y","B","Married","Y","Professional","1Low","Owner","South","L"
"Y","F","3. Bach",220180,"4_<=45","N","C","Married","Y","Professional","1Low","Owner","Northeast","F"
"N","M","3. Bach",71722,"5_<=55","N","I","","U","Sales/Service","1Low","","West","B"
"Y","M","4. Grad",304894,"5_<=55","Y","B","Married","N","Professional","1Low","Owner","South","E"
"N","M","1. HS",143117,"5_<=55","Y","E","Married","Y","Sales/Service","1Low","Renter","South","E"
"Y","M","2. Some College",572675,"4_<=45","N","E","Single","U","Blue Collar","1Low","","West","C"
"N","U","1. HS",0,"3_<=35","N","G","Single","Y","Sales/Service","1Low","Renter","Northeast","A"
"N","M","4. Grad",0,"6_<=65","Y","A","Single","N","Professional","1Low","Renter","West","H"
